Date,Open,High,Low,Close,Adj Close,Volume
2016-02-22,16417.130859,16664.240234,16417.130859,16620.660156,16620.660156,1022400
2016-02-23,16610.390625,16610.390625,16403.529297,16431.779297,16431.779297,981700
2016-02-24,16418.839844,16507.390625,16165.860352,16484.990234,16484.990234,936200
2016-02-25,16504.380859,16697.980469,16458.419922,16697.289063,16697.289063,941200
2016-02-26,16712.699219,16795.980469,16623.910156,16639.970703,16639.970703,984800
2016-02-29,16634.150391,16726.119141,16510.400391,16516.500000,16516.500000,1262200
2016-03-01,16545.669922,16865.560547,16545.669922,16865.080078,16865.080078,1050500
2016-03-02,16851.169922,16900.169922,16766.320313,16899.320313,16899.320313,1044700
2016-03-03,16896.169922,16944.310547,16820.730469,16943.900391,16943.900391,911100
2016-03-04,16945.000000,17062.380859,16898.839844,17006.769531,17006.769531,1069100
2016-03-07,16991.289063,17099.250000,16940.480469,17073.949219,17073.949219,1002900
2016-03-08,17050.669922,17072.789063,16921.509766,16964.099609,16964.099609,1083800
2016-03-09,16969.169922,17048.500000,16947.939453,17000.359375,17000.359375,1166900
2016-03-10,17006.050781,17130.109375,16821.859375,16995.130859,16995.130859,1175700
2016-03-11,17014.990234,17220.089844,17014.990234,17213.310547,17213.310547,1234200
2016-03-14,17207.490234,17275.070313,17161.160156,17229.130859,17229.130859,963500
2016-03-15,17217.150391,17251.699219,17120.349609,17251.529297,17251.529297,928300
2016-03-16,17249.339844,17379.179688,17204.070313,17325.759766,17325.759766,1187100
2016-03-17,17321.380859,17529.009766,17297.650391,17481.490234,17481.490234,1179900
2016-03-18,17481.490234,17620.580078,17481.490234,17602.300781,17602.300781,3212300
2016-03-21,17589.699219,17644.970703,17551.279297,17623.869141,17623.869141,844100
2016-03-22,17602.710938,17648.939453,17540.419922,17582.570313,17582.570313,954500
2016-03-23,17588.810547,17588.810547,17486.269531,17502.589844,17502.589844,842400
2016-03-24,17485.330078,17517.140625,17399.009766,17515.730469,17515.730469,841000
2016-03-28,17526.080078,17583.810547,17493.029297,17535.390625,17535.390625,704600
2016-03-29,17512.580078,17642.810547,17434.269531,17633.109375,17633.109375,861600
2016-03-30,17652.359375,17790.109375,17652.359375,17716.660156,17716.660156,793300
2016-03-31,17716.050781,17755.699219,17669.720703,17685.089844,17685.089844,1026000
2016-04-01,17661.740234,17811.480469,17568.019531,17792.750000,17792.750000,1048900
2016-04-04,17799.390625,17806.380859,17710.669922,17737.000000,17737.000000,852300
2016-04-05,17718.029297,17718.029297,17579.560547,17603.320313,17603.320313,1152300
2016-04-06,17605.449219,17723.550781,17542.539063,17716.050781,17716.050781,994100
2016-04-07,17687.279297,17687.279297,17484.230469,17541.960938,17541.960938,901200
2016-04-08,17555.390625,17694.509766,17528.160156,17576.960938,17576.960938,799900
2016-04-11,17586.480469,17731.630859,17555.900391,17556.410156,17556.410156,1071000
2016-04-12,17571.339844,17744.429688,17553.570313,17721.250000,17721.250000,810200
2016-04-13,17741.660156,17918.349609,17741.660156,17908.279297,17908.279297,917100
2016-04-14,17912.250000,17962.140625,17885.439453,17926.429688,17926.429688,845100
2016-04-15,17925.949219,17937.650391,17867.410156,17897.460938,17897.460938,1181600
2016-04-18,17890.199219,18009.529297,17848.220703,18004.160156,18004.160156,893900
2016-04-19,18012.099609,18103.460938,17984.429688,18053.599609,18053.599609,898200
2016-04-20,18059.490234,18167.630859,18031.210938,18096.269531,18096.269531,1002100
2016-04-21,18092.839844,18107.289063,17963.890625,17982.519531,17982.519531,1027200
2016-04-22,17985.050781,18026.849609,17909.890625,18003.750000,18003.750000,1341200
2016-04-25,17990.939453,17990.939453,17855.550781,17977.240234,17977.240234,837700
2016-04-26,17987.380859,18043.769531,17934.169922,17990.320313,17990.320313,925700
2016-04-27,17996.140625,18084.660156,17920.259766,18041.550781,18041.550781,1090900
2016-04-28,18023.880859,18035.730469,17796.550781,17830.759766,17830.759766,1009200
2016-04-29,17813.089844,17814.830078,17651.980469,17773.640625,17773.640625,1366700
2016-05-02,17783.779297,17912.349609,17773.710938,17891.160156,17891.160156,801000
2016-05-03,17870.750000,17870.750000,17670.880859,17750.910156,17750.910156,970600
2016-05-04,17735.019531,17738.060547,17609.009766,17651.259766,17651.259766,950200
2016-05-05,17664.480469,17736.109375,17615.820313,17660.710938,17660.710938,815300
2016-05-06,17650.300781,17744.539063,17580.380859,17740.630859,17740.630859,800200
2016-05-09,17743.849609,17783.160156,17668.380859,17705.910156,17705.910156,855900
2016-05-10,17726.660156,17934.609375,17726.660156,17928.349609,17928.349609,757900
2016-05-11,17919.029297,17919.029297,17711.050781,17711.119141,17711.119141,873900
2016-05-12,17711.119141,17798.189453,17625.380859,17720.500000,17720.500000,885600
2016-05-13,17711.119141,17734.740234,17512.480469,17535.320313,17535.320313,866400
2016-05-16,17531.759766,17755.800781,17531.759766,17710.710938,17710.710938,884400
2016-05-17,17701.460938,17701.460938,17469.919922,17529.980469,17529.980469,1032600
2016-05-18,17501.279297,17636.220703,17418.210938,17526.619141,17526.619141,791200
2016-05-19,17514.160156,17514.160156,17331.070313,17435.400391,17435.400391,955300
2016-05-20,17437.320313,17571.750000,17437.320313,17500.939453,17500.939453,1119900
2016-05-23,17507.039063,17550.699219,17480.050781,17492.929688,17492.929688,877900
2016-05-24,17525.189453,17742.589844,17525.189453,17706.050781,17706.050781,864800
2016-05-25,17735.089844,17891.710938,17735.089844,17851.509766,17851.509766,791800
2016-05-26,17859.519531,17888.660156,17803.820313,17828.289063,17828.289063,689400
2016-05-27,17826.849609,17873.220703,17824.730469,17873.220703,17873.220703,731900
2016-05-31,17891.500000,17899.240234,17724.029297,17787.199219,17787.199219,1473900
2016-06-01,17754.550781,17809.179688,17664.789063,17789.669922,17789.669922,785300
2016-06-02,17789.050781,17838.560547,17703.550781,17838.560547,17838.560547,755600
2016-06-03,17799.800781,17833.169922,17689.679688,17807.060547,17807.060547,822700
2016-06-06,17825.689453,17949.679688,17822.810547,17920.330078,17920.330078,718700
2016-06-07,17936.220703,18003.230469,17936.220703,17938.279297,17938.279297,787500
2016-06-08,17931.910156,18016.000000,17931.910156,18005.050781,18005.050781,712600
2016-06-09,17969.980469,18005.220703,17915.880859,17985.189453,17985.189453,696900
2016-06-10,17938.820313,17938.820313,17812.339844,17865.339844,17865.339844,905400
2016-06-13,17830.500000,17893.279297,17731.349609,17732.480469,17732.480469,1016900
2016-06-14,17710.769531,17733.919922,17595.789063,17674.820313,17674.820313,937400
2016-06-15,17703.650391,17762.960938,17629.009766,17640.169922,17640.169922,941300
2016-06-16,17602.230469,17754.910156,17471.289063,17733.099609,17733.099609,919500
2016-06-17,17733.439453,17733.439453,17602.779297,17675.160156,17675.160156,2486800
2016-06-20,17736.869141,17946.359375,17736.869141,17804.869141,17804.869141,993800
2016-06-21,17827.330078,17877.839844,17799.800781,17829.730469,17829.730469,851300
2016-06-22,17832.669922,17920.160156,17770.359375,17780.830078,17780.830078,894400
2016-06-23,17844.109375,18011.070313,17844.109375,18011.070313,18011.070313,980700
2016-06-24,17946.630859,17946.630859,17356.339844,17400.750000,17400.750000,2390000
2016-06-27,17355.210938,17355.210938,17063.080078,17140.240234,17140.240234,1387400
2016-06-28,17190.509766,17409.720703,17190.509766,17409.720703,17409.720703,1121900
2016-06-29,17456.019531,17704.509766,17456.019531,17694.679688,17694.679688,1063800
2016-06-30,17712.759766,17930.609375,17711.800781,17929.990234,17929.990234,1330300
2016-07-01,17924.240234,18002.380859,17916.910156,17949.369141,17949.369141,821600
2016-07-05,17904.449219,17904.449219,17785.279297,17840.619141,17840.619141,1036500
2016-07-06,17807.470703,17926.910156,17713.449219,17918.619141,17918.619141,930000
2016-07-07,17924.240234,17984.949219,17816.650391,17895.880859,17895.880859,815700
2016-07-08,17971.220703,18166.769531,17971.220703,18146.740234,18146.740234,934600
2016-07-11,18161.529297,18283.900391,18161.529297,18226.929688,18226.929688,808800
2016-07-12,18259.119141,18371.949219,18259.119141,18347.669922,18347.669922,901700
2016-07-13,18356.779297,18390.160156,18315.759766,18372.119141,18372.119141,809200
2016-07-14,18414.300781,18537.570313,18414.300781,18506.410156,18506.410156,870500
2016-07-15,18508.880859,18557.429688,18471.619141,18516.550781,18516.550781,1236900
2016-07-18,18521.550781,18556.130859,18489.839844,18533.050781,18533.050781,755400
2016-07-19,18503.119141,18562.529297,18495.109375,18559.009766,18559.009766,858400
2016-07-20,18582.699219,18622.009766,18555.650391,18595.029297,18595.029297,932300
2016-07-21,18589.960938,18590.439453,18469.669922,18517.230469,18517.230469,868000
2016-07-22,18524.150391,18571.300781,18491.589844,18570.849609,18570.849609,877100
2016-07-25,18554.490234,18555.689453,18452.619141,18493.060547,18493.060547,768100
2016-07-26,18497.369141,18522.470703,18387.220703,18473.750000,18473.750000,853700
2016-07-27,18473.269531,18542.390625,18430.939453,18472.169922,18472.169922,1113700
2016-07-28,18461.009766,18483.259766,18368.820313,18456.349609,18456.349609,857500
2016-07-29,18442.519531,18466.550781,18371.119141,18432.240234,18432.240234,1115500
2016-08-01,18434.500000,18467.029297,18355.750000,18404.509766,18404.509766,834700
2016-08-02,18401.150391,18403.650391,18247.789063,18313.769531,18313.769531,896800
